Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
155,232,200,7581,2.1152883,0.23140319
156,228,80,7613,2.0475502,0.2298403
157,228,202,7761,2.113645,0.23174773
158,236,92,7787,2.0470014,0.23001035
159,236,204,7931,2.1127222,0.23173119
160,232,80,7963,2.0459626,0.23017778
161,232,206,8115,2.1111522,0.23206268
162,240,92,8141,2.045449,0.23034264
163,240,208,8289,2.1102667,0.23204838
164,236,80,8321,2.0444658,0.230505
165,236,210,8477,2.108765,0.23236753
166,244,92,8503,2.0439844,0.2306649
167,244,212,8655,2.1079144,0.23235524
168,240,80,8687,2.043053,0.23082237
169,240,214,8847,2.1064768,0.23266272
170,248,92,8873,2.042601,0.23097748
171,248,216,9029,2.1056595,0.23265222
172,244,80,9061,2.0417173,0.23113027
173,244,218,9225,2.104282,0.23294866
174,252,92,9251,2.041293,0.23128079
175,252,220,9411,2.1034958,0.23293978
176,248,80,9443,2.0404532,0.23142906
177,248,222,9611,2.1021745,0.23322575
178,256,92,9637,2.0400538,0.23157515
179,256,224,9801,2.1014183,0.23321833
180,252,80,9833,2.0392556,0.2317191
181,252,226,10005,2.1001499,0.23349437
182,260,92,10031,2.0388794,0.23186095
183,260,228,10199,2.0994215,0.23348825
184,256,80,10231,2.0381196,0.23200072
185,256,230,10407,2.0982032,0.23375486
186,264,92,10433,2.0377648,0.23213848
187,264,232,10605,2.0975013,0.23374991
188,260,80,10637,2.0370405,0.23227426
189,260,234,10817,2.09633,0.23400757
190,268,92,10843,2.0367057,0.2324081
191,268,236,11019,2.095653,0.2340037
192,264,80,11051,2.0360148,0.23254003
193,264,238,11235,2.094526,0.23425283
194,272,92,11261,2.0356984,0.2326701
195,272,240,11441,2.093873,0.23424992
196,268,80,11473,2.0350387,0.23279832
197,268,242,11661,2.092788,0.23449095
198,276,92,11687,2.0347395,0.23292476
199,276,244,11871,2.0921574,0.23448889
200,272,80,11903,2.034109,0.23304944
201,272,246,12095,2.0911121,0.2347222
202,280,92,12121,2.0338256,0.23317239
203,280,248,12309,2.090503,0.23472093
204,276,80,12341,2.0332227,0.23329364
205,276,250,12537,2.0894952,0.23494688
206,284,92,12563,2.032954,0.23341322
207,284,252,12755,2.0889063,0.23494631
208,280,80,12787,2.0323765,0.23353118
209,280,254,12987,2.087934,0.23516524
210,288,92,13013,2.0321217,0.23364754
211,288,256,13209,2.0873647,0.2351653
212,284,80,13241,2.0315685,0.23376234
213,284,258,13445,2.0864263,0.23537754
214,292,92,13471,2.0313265,0.23387559
215,292,260,13671,2.0858753,0.23537818
216,288,80,13703,2.0307963,0.23398733
217,288,262,13911,2.0849688,0.235584
218,296,92,13937,2.0305662,0.23409759
219,296,264,14141,2.0844352,0.23558517
220,292,80,14173,2.0300572,0.2342064
221,292,266,14385,2.0835593,0.23578489
222,300,92,14411,2.0298383,0.23431377
223,300,268,14619,2.0830426,0.23578651
224,296,80,14651,2.0293496,0.23441975
225,296,270,14867,2.0821955,0.23598038
226,304,92,14893,2.0291412,0.23452435
227,304,272,15105,2.0816948,0.23598243
228,300,80,15137,2.0286715,0.2346276
229,300,274,15357,2.0808752,0.23617071
230,308,92,15383,2.028473,0.23472953
231,308,276,15599,2.0803897,0.23617314
232,304,80,15631,2.0280213,0.23483016
233,304,278,15855,2.0795963,0.23635605
234,312,92,15881,2.027832,0.23492952
235,312,280,16101,2.0791254,0.23635884
236,308,80,16133,2.0273972,0.23502761
237,308,282,16361,2.078357,0.23653659
238,316,92,16387,2.0272167,0.23512447
239,316,284,16611,2.0779002,0.23653969
240,312,80,16643,2.026798,0.23522012
241,312,286,16875,2.0771556,0.23671253
242,320,92,16901,2.0266256,0.2353146
243,320,288,17129,2.076712,0.23671591
244,316,80,17161,2.0262222,0.23540789
245,316,290,17397,2.0759902,0.23688403
246,324,92,17423,2.0260575,0.23550005
247,324,292,17655,2.0755594,0.23688765
248,320,80,17687,2.0256686,0.23559107
249,320,294,17927,2.0748591,0.23705123
250,328,92,17953,2.025511,0.235681
251,328,296,18189,2.0744405,0.2370551
252,324,80,18221,2.0251358,0.23576984
253,324,298,18465,2.0737612,0.23721433
254,332,92,18491,2.024985,0.2358576
255,332,300,18731,2.0733542,0.23721838
256,328,80,18763,2.024623,0.23594432
257,328,302,19011,2.0726948,0.23737343
258,336,92,19037,2.0244787,0.23603
259,336,304,19281,2.0722992,0.23737766
260,332,80,19313,2.024129,0.23611468
261,332,306,19565,2.0716586,0.23752868
262,340,92,19591,2.0239906,0.23619835
263,340,308,19839,2.0712738,0.23753308
264,336,80,19871,2.0236526,0.23628105
265,336,310,20127,2.0706513,0.23768024
266,344,92,20153,2.02352,0.23636279
267,344,312,20405,2.070277,0.23768477
268,340,80,20437,2.0231931,0.23644356
269,340,314,20697,2.0696719,0.23782821
270,348,92,20723,2.023066,0.23652342
271,348,316,20979,2.0693073,0.23783287
272,344,80,21011,2.02275,0.23660237
273,344,318,21275,2.0687191,0.23797274
274,352,92,21301,2.022628,0.2366804
275,352,320,21561,2.0683641,0.2379775
276,348,80,21593,2.022322,0.23675756
277,348,322,21861,2.067792,0.23811391
278,356,92,21887,2.0222049,0.23683384
279,356,324,22151,2.0674462,0.23811878
280,352,80,22183,2.0219088,0.23690927
281,352,326,22455,2.0668893,0.23825186
282,360,92,22481,2.0217962,0.23698387
283,360,328,22749,2.0665524,0.23825683
284,356,80,22781,2.0215092,0.23705761
285,356,330,23057,2.0660102,0.2383867
286,364,92,23083,2.021401,0.23713055
287,364,332,23355,2.065682,0.23839174
288,360,80,23387,2.021123,0.2372027
289,360,334,23667,2.065154,0.23851852
290,368,92,23693,2.021019,0.23727405
291,368,336,23969,2.0648336,0.23852362
292,364,80,24001,2.020749,0.23734462
293,364,338,24285,2.0643196,0.23864742
294,372,92,24311,2.0206492,0.23741443
295,372,340,24591,2.064007,0.23865257
296,368,80,24623,2.0203874,0.23748349
297,368,342,24911,2.0635061,0.2387735
298,376,92,24937,2.020291,0.2375518
299,376,344,25221,2.0632012,0.2387787
300,372,80,25253,2.0200372,0.23761939
301,372,346,25545,2.062713,0.23889683
302,380,92,25571,2.0199444,0.23768625
303,380,348,25859,2.0624154,0.23890208
304,376,80,25891,2.019698,0.23775241
305,376,350,26187,2.0619392,0.23901753
306,384,92,26213,2.0196085,0.23781788
307,384,352,26505,2.0616488,0.2390228
308,380,80,26537,2.0193691,0.23788266
309,380,354,26837,2.0611842,0.23913567
310,388,92,26863,2.019283,0.23794676
311,388,356,27159,2.0609007,0.23914096
312,384,80,27191,2.0190504,0.23801021
313,384,358,27495,2.0604475,0.23925132
314,392,92,27521,2.0189674,0.23807299
315,392,360,27821,2.0601704,0.23925664
316,388,80,27853,2.0187411,0.23813514
317,388,362,28161,2.059728,0.23936455
318,396,92,28187,2.018661,0.23819664
319,396,364,28491,2.0594573,0.23936988
320,392,80,28523,2.0184412,0.23825753
321,392,366,28835,2.0590255,0.23947546
322,400,92,28861,2.018364,0.2383178
323,400,368,29169,2.0587611,0.2394808
324,396,80,29201,2.01815,0.23837745
325,396,370,29517,2.0583394,0.23958409
326,404,92,29543,2.0180755,0.23843652
327,404,372,29855,2.0580807,0.23958944
328,400,80,29887,2.0178673,0.23849499
329,400,374,30207,2.0576687,0.23969054
330,408,92,30233,2.017795,0.23855288
331,408,376,30549,2.057416,0.23969588
332,404,80,30581,2.0175927,0.23861021
333,404,378,30905,2.0570135,0.23979485
334,412,92,30931,2.0175228,0.23866697
335,412,380,31251,2.0567663,0.23980018
336,408,80,31283,2.0173256,0.23872317
337,408,382,31611,2.056373,0.23989709
338,416,92,31637,2.0172582,0.23877881
339,416,384,31961,2.056131,0.23990242
340,412,80,31993,2.0170662,0.23883393
341,412,386,32325,2.0557463,0.23999733
342,420,92,32351,2.017001,0.23888852
343,420,388,32679,2.0555096,0.24000265
344,416,80,32711,2.016814,0.23894258
345,416,390,33047,2.0551336,0.24009562
346,424,92,33073,2.0167508,0.23899612
347,424,392,33405,2.054902,0.24010092
348,420,80,33437,2.0165684,0.23904915
349,420,394,33777,2.0545342,0.240192
350,428,92,33803,2.0165074,0.23910168
351,428,396,34139,2.0543075,0.24019729
352,424,80,34171,2.0163295,0.23915371
353,424,398,34515,2.0539474,0.24028654
354,432,92,34541,2.0162706,0.23920526
355,432,400,34881,2.0537255,0.24029182
356,428,80,34913,2.016097,0.23925632
357,428,402,35261,2.0533733,0.2403793
358,436,92,35287,2.0160398,0.23930691
359,436,404,35631,2.053156,0.24038455
360,432,80,35663,2.0158708,0.23935702
361,432,406,36015,2.0528114,0.24047032
362,440,92,36041,2.0158153,0.23940668
363,440,408,36389,2.0525982,0.24047555
364,436,80,36421,2.0156503,0.23945588
365,436,410,36777,2.0522609,0.24055965
366,444,92,36803,2.0155966,0.23950464
367,444,412,37155,2.0520523,0.24056485
368,440,80,37187,2.0154355,0.23955293
369,440,414,37547,2.0517218,0.24064733
370,448,92,37573,2.0153835,0.2396008
371,448,416,37929,2.0515172,0.2406525
372,444,80,37961,2.0152261,0.23964824
373,444,418,38325,2.0511937,0.24073341
374,452,92,38351,2.0151756,0.23969525
375,452,420,38711,2.0509932,0.24073856
376,448,80,38743,2.015022,0.23974183
377,448,422,39111,2.0506763,0.24081793
378,456,92,39137,2.014973,0.23978801
379,456,424,39501,2.0504797,0.24082305
380,452,80,39533,2.014823,0.23983377
381,452,426,39905,2.0501692,0.24090093
382,460,92,39931,2.0147755,0.23987913
383,460,428,40299,2.0499763,0.24090602
384,456,80,40331,2.014629,0.23992409
385,456,430,40707,2.0496721,0.24098247
386,464,92,40733,2.0145829,0.23996866
387,464,432,41105,2.049483,0.24098752
388,460,80,41137,2.0144396,0.24001284
389,460,434,41517,2.0491846,0.24106257
390,468,92,41543,2.0143948,0.24005663
391,468,436,41919,2.0489993,0.24106757
392,464,80,41951,2.0142548,0.24010004
393,464,438,42335,2.0487068,0.24114126
394,472,92,42361,2.0142112,0.24014309
395,472,440,42741,2.0485249,0.24114624
396,468,80,42773,2.0140743,0.24018575
397,468,442,43161,2.048238,0.24121858
398,476,92,43187,2.014032,0.24022806
399,476,444,43571,2.0480595,0.24122353
400,472,80,43603,2.0138981,0.24027
401,472,446,43995,2.0477781,0.24129458
402,480,92,44021,2.0138571,0.24031161
403,480,448,44409,2.047603,0.2412995
404,476,80,44441,2.013726,0.24035284
405,476,450,44837,2.047327,0.24136929
406,484,92,44863,2.0136862,0.24039373
407,484,452,45255,2.047155,0.24137416
408,480,80,45287,2.013558,0.24043429
409,480,454,45687,2.0468843,0.24144273
410,488,92,45713,2.013519,0.24047449
411,488,456,46109,2.0467155,0.24144757
412,484,80,46141,2.0133936,0.24051438
413,484,458,46545,2.0464497,0.24151494
414,492,92,46571,2.013356,0.24055393
415,492,460,46971,2.046284,0.24151973
416,488,80,47003,2.0132332,0.24059315
417,488,462,47411,2.0460231,0.24158594
418,496,92,47437,2.0131965,0.24063206
419,496,464,47841,2.0458603,0.24159071
420,492,80,47873,2.0130763,0.24067064
421,492,466,48285,2.0456042,0.24165578
422,500,92,48311,2.0130405,0.2407089
423,500,468,48719,2.0454443,0.2416605
424,496,80,48751,2.0129228,0.24074687
425,496,470,49167,2.045193,0.24172448
426,504,92,49193,2.012888,0.24078453
427,504,472,49605,2.0450358,0.24172917
428,500,80,49637,2.0127728,0.24082187
429,500,474,50057,2.0447888,0.24179205
430,508,92,50083,2.012739,0.24085893
431,508,476,50499,2.0446346,0.2417967
432,504,80,50531,2.012626,0.24089567
433,504,478,50955,2.044392,0.24185854
434,512,92,50981,2.012593,0.24093214
435,512,480,51401,2.0442405,0.24186316
436,508,80,51433,2.0124822,0.24096832
437,508,482,51861,2.0440023,0.24192397
438,516,92,51887,2.0124502,0.2410042
439,516,484,52311,2.043853,0.24192855
440,512,80,52343,2.0123417,0.24103981
441,512,486,52775,2.0436192,0.24198836
442,520,92,52801,2.0123103,0.24107514
443,520,488,53229,2.0434725,0.2419929
444,516,80,53261,2.0122042,0.24111019
445,516,490,53697,2.0432427,0.24205174
446,524,92,53723,2.0121737,0.24114497
447,524,492,54155,2.0430984,0.24205624
448,520,80,54187,2.0120692,0.24117948
449,520,494,54627,2.0428727,0.24211413
450,528,92,54653,2.0120397,0.24121372
451,528,496,55089,2.0427308,0.24211858
452,524,80,55121,2.0119374,0.24124771
453,524,498,55565,2.0425088,0.24217555
454,532,92,55591,2.0119083,0.24128143
455,532,500,56031,2.0423694,0.24217997
456,528,80,56063,2.0118082,0.24131489
457,528,502,56511,2.042151,0.24223602
458,536,92,56537,2.0117798,0.2413481
459,536,504,56981,2.0420141,0.24224041
460,532,80,57013,2.0116816,0.24138106
461,532,506,57465,2.0417993,0.24229558
462,540,92,57491,2.011654,0.24141377
463,540,508,57939,2.0416646,0.24229993
464,536,80,57971,2.0115576,0.24144624
465,536,510,58427,2.0414534,0.24235423
466,544,92,58453,2.0115306,0.24147846
467,544,512,58905,2.0413208,0.24235854
468,540,80,58937,2.011436,0.24151044
469,540,514,59397,2.0411131,0.242412
470,548,92,59423,2.0114098,0.24154218
471,548,516,59879,2.0409827,0.24241626
472,544,80,59911,2.0113168,0.24157369
473,544,518,60375,2.0407784,0.24246891
474,552,92,60401,2.0112913,0.24160497
475,552,520,60861,2.04065,0.24247314
476,548,80,60893,2.0112,0.24163601
477,548,522,61361,2.0404491,0.24252497
478,556,92,61387,2.011175,0.24166682
479,556,524,61851,2.0403228,0.24252917
480,552,80,61883,2.0110855,0.24169743
481,552,526,62355,2.0401251,0.2425802
482,560,92,62381,2.011061,0.2417278
483,560,528,62849,2.0400007,0.24258436
484,556,80,62881,2.0109732,0.24175794
485,556,530,63357,2.0398061,0.24263464
486,564,92,63383,2.0109494,0.24178788
487,564,532,63855,2.0396836,0.24263877
488,560,80,63887,2.0108628,0.2418176
489,560,534,64367,2.0394924,0.24268828
490,568,92,64393,2.0108397,0.2418471
491,568,536,64869,2.0393717,0.24269237
492,564,80,64901,2.0107548,0.2418764
493,564,538,65385,2.0391834,0.24274115
494,572,92,65411,2.0107322,0.24190548
495,572,540,65891,2.0390644,0.2427452
496,568,80,65923,2.0106487,0.24193436
497,568,542,66411,2.0388792,0.24279326
498,576,92,66437,2.0106266,0.24196303
499,576,544,66921,2.038762,0.24279729
500,572,80,66953,2.0105448,0.2419915
501,572,546,67445,2.0385797,0.24284464
502,580,92,67471,2.010523,0.24201977
503,580,548,67959,2.0384643,0.24284862
504,576,80,67991,2.0104425,0.24204785
505,576,550,68487,2.0382845,0.24289529
506,584,92,68513,2.0104213,0.24207573
507,584,552,69005,2.038171,0.24289924
508,580,80,69037,2.0103424,0.24210341
509,580,554,69537,2.0379941,0.24294524
510,588,92,69563,2.0103216,0.2421309
511,588,556,70059,2.0378823,0.24294914
512,584,80,70091,2.010244,0.24215822
513,584,558,70595,2.037708,0.24299449
514,592,92,70621,2.0102236,0.24218532
515,592,560,71121,2.037598,0.24299835
516,588,80,71153,2.010147,0.24221227
517,588,562,71661,2.0374262,0.24304305
518,596,92,71687,2.0101273,0.242239
519,596,564,72191,2.0373178,0.24304688
520,592,80,72223,2.0100522,0.24226557
521,592,566,72735,2.0371485,0.24309094
522,600,92,72761,2.010033,0.24229196
523,600,568,73269,2.0370417,0.24309474
524,596,80,73301,2.009959,0.24231815
525,596,570,73817,2.036875,0.2431382
526,604,92,73843,2.00994,0.24234419
527,604,572,74355,2.0367696,0.24314196
528,600,80,74387,2.0098674,0.24237004
529,600,574,74907,2.0366054,0.2431848
530,608,92,74933,2.0098488,0.24239571
531,608,576,75449,2.0365014,0.24318853
532,604,80,75481,2.0097773,0.24242122
533,604,578,76005,2.0363398,0.24323079
534,612,92,76031,2.0097592,0.24244656
535,612,580,76551,2.0362372,0.24323449
536,608,80,76583,2.0096889,0.24247174
537,608,582,77111,2.036078,0.24327615
538,616,92,77137,2.0096712,0.24249674
539,616,584,77661,2.035977,0.24327981
540,612,80,77693,2.0096018,0.24252158
541,612,586,78225,2.0358198,0.24332093
542,620,92,78251,2.0095844,0.24254626
543,620,588,78779,2.03572,0.24332455
544,616,80,78811,2.0095165,0.24257077
545,616,590,79347,2.0355654,0.2433651
546,624,92,79373,2.0094995,0.24259512
547,624,592,79905,2.0354671,0.2433687
548,620,80,79937,2.0094323,0.24261932
549,620,594,80477,2.0353143,0.2434087
550,628,92,80503,2.0094159,0.24264336
551,628,596,81039,2.0352175,0.24341226
552,624,80,81071,2.0093498,0.24266724
553,624,598,81615,2.035067,0.24345173
554,632,92,81641,2.0093336,0.24269097
555,632,600,82181,2.0349715,0.24345526
556,628,80,82213,2.0092685,0.24271455
557,628,602,82761,2.0348232,0.2434942
558,636,92,82787,2.0092525,0.24273798
559,636,604,83331,2.034729,0.2434977
560,632,80,83363,2.0091887,0.24276125
561,632,606,83915,2.0345826,0.24353613
562,640,92,83941,2.0091732,0.24278438
563,640,608,84489,2.0344896,0.2435396
