Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
160,222,210,679,2.5360825,0.048778735
161,215,260,691,2.65123,0.049216524
162,251,198,646,2.383901,0.046011396
163,242,244,699,2.6924176,0.04980051
164,221,241,697,2.593974,0.049658023
165,229,230,677,2.5553916,0.048233114
166,225,246,676,2.591716,0.048161868
167,216,231,655,2.5312977,0.04628321
168,214,211,640,2.509375,0.04522329
169,206,237,643,2.5443234,0.045435276
170,193,207,612,2.4215686,0.04324477
171,205,185,598,2.381271,0.04191197
172,196,218,618,2.6893203,0.04331371
173,195,204,596,2.5503356,0.041771796
174,201,219,587,2.5621805,0.041141015
175,200,183,569,2.4674869,0.03955784
176,173,222,586,2.6552901,0.04073971
177,185,125,537,2.2346368,0.03733315
178,181,215,597,2.80067,0.04150445
179,176,149,563,2.3907638,0.038827587
180,182,187,590,2.6271186,0.040689655
181,189,169,585,2.3794873,0.040344827
182,195,209,605,2.5950413,0.041392993
183,222,170,591,2.3688664,0.04043514
184,210,241,643,2.7962675,0.043992884
185,213,211,612,2.496732,0.04187192
186,204,227,614,2.62215,0.042008758
187,195,185,591,2.4873097,0.040116753
188,181,212,601,2.6289518,0.040795546
189,178,181,570,2.3859649,0.038691286
190,192,206,567,2.5467372,0.03818696
191,169,161,553,2.455696,0.037244074
192,182,170,561,2.5169342,0.037782867
193,186,151,573,2.5165794,0.038591057
194,182,192,608,2.6447368,0.040948275
195,186,204,598,2.5150502,0.03996258
196,181,199,580,2.5068965,0.03875969
197,192,169,562,2.3523133,0.037267905
198,201,191,585,2.625641,0.038793102
199,175,203,595,2.5915966,0.03915504
200,171,165,567,2.4373899,0.03759947
201,178,170,573,2.5235603,0.03770729
202,191,189,581,2.5679862,0.037944097
203,177,196,583,2.6243567,0.037749287
204,212,157,564,2.3829787,0.036519036
205,202,219,619,2.7786753,0.039740626
206,202,195,602,2.5049834,0.038649205
207,225,216,609,2.6042693,0.03880464
208,192,206,618,2.540453,0.039047197
209,208,201,604,2.460265,0.03787784
210,221,185,611,2.5040917,0.03831682
211,228,214,647,2.7078826,0.040273886
212,232,248,661,2.7352495,0.041106965
213,227,202,645,2.5147288,0.039814815
214,228,235,670,2.6597016,0.041666668
215,221,235,663,2.627451,0.040966388
216,218,213,649,2.5454545,0.040061727
217,223,225,654,2.5565748,0.04007353
218,203,251,652,2.6625767,0.040246915
219,200,201,604,2.4139073,0.03673966
220,190,202,603,2.5273633,0.03694853
221,200,186,591,2.3790185,0.035948906
222,209,202,605,2.555372,0.036764707
223,195,234,612,2.5882354,0.036651097
224,184,181,573,2.3699825,0.034565967
225,160,175,576,2.5347223,0.03449515
226,180,165,561,2.3172905,0.033842072
227,172,174,576,2.4340277,0.03396627
228,176,150,574,2.3728223,0.03412807
229,174,178,600,2.4966667,0.0362735
230,188,170,596,2.4194632,0.036292776
231,210,186,614,2.485342,0.03685474
232,228,220,638,2.6238244,0.038570825
233,230,221,646,2.6934984,0.03877551
234,222,227,655,2.6992366,0.039598573
235,203,218,650,2.56,0.039067194
236,237,225,635,2.5417323,0.037844926
237,242,210,647,2.4760432,0.038560104
238,222,221,679,2.6568482,0.040756304
239,236,244,680,2.6117647,0.04024145
240,243,251,672,2.6190476,0.04038947
241,229,257,664,2.6385543,0.04031083
242,212,221,636,2.5125787,0.03888481
243,202,241,627,2.5582137,0.03779841
244,201,194,588,2.4115646,0.03569694
245,193,193,595,2.5579832,0.035562728
246,197,189,595,2.5310924,0.03581317
247,182,182,603,2.5671642,0.035487287
248,178,198,603,2.5140963,0.03573545
249,186,178,583,2.4562607,0.034021944
250,191,171,591,2.4737732,0.035078347
251,190,196,611,2.599018,0.036015324
252,198,197,605,2.4694214,0.03535944
253,200,196,606,2.580858,0.035175297
254,163,226,610,2.619672,0.035109933
255,167,165,547,2.3619745,0.03158928
256,161,165,549,2.4881604,0.031649947
257,141,148,545,2.3926606,0.03190493
258,148,142,538,2.4423792,0.03128089
259,152,147,544,2.5036764,0.03168686
260,165,176,549,2.564663,0.0319781
261,173,139,538,2.4349442,0.03106953
262,174,217,572,2.7482517,0.03354445
263,151,147,529,2.3553874,0.030549781
264,155,170,533,2.6078799,0.030574199
265,148,139,518,2.3166022,0.029713761
266,163,146,527,2.4743834,0.029973837
267,154,163,544,2.5073528,0.030734463
268,157,130,535,2.3401868,0.029971989
269,171,161,562,2.5907474,0.031484593
270,180,151,572,2.4825175,0.031832602
271,186,217,601,2.7254577,0.03322645
272,179,177,570,2.4526315,0.031512607
273,191,170,572,2.4125874,0.031623177
274,168,194,593,2.5666103,0.032784168
275,176,164,567,2.356261,0.031141868
276,185,176,579,2.431779,0.031594455
277,177,203,588,2.4659865,0.03208556
278,180,160,562,2.316726,0.030468961
279,204,184,582,2.5051546,0.031351004
280,187,195,602,2.564784,0.032428358
281,183,186,594,2.5218856,0.03179361
282,204,164,591,2.4162436,0.031633034
283,218,223,631,2.599049,0.03334919
284,217,225,626,2.6070287,0.033084933
285,220,230,618,2.6763754,0.0321875
286,189,205,608,2.5296052,0.03206751
287,202,187,592,2.4324324,0.030833334
288,203,202,607,2.6128502,0.031614583
289,195,189,608,2.5361843,0.031404957
290,214,188,614,2.4495113,0.031714875
291,198,199,640,2.60625,0.032852523
292,206,214,639,2.4726136,0.032801192
293,218,208,631,2.4437401,0.032125037
294,208,198,641,2.4961,0.03263415
295,190,257,651,2.6973886,0.0327366
296,216,193,584,2.1917808,0.029367395
297,189,223,607,2.6425042,0.030275824
298,201,178,573,2.3001745,0.028579978
299,178,199,596,2.6073825,0.029545905
300,197,179,575,2.3443477,0.028679734
301,177,202,593,2.5531197,0.029889112
302,201,161,568,2.3239436,0.028629033
303,193,196,608,2.6217105,0.030454818
304,210,200,605,2.552066,0.030117484
305,206,230,615,2.6731708,0.03037037
306,204,184,591,2.3519459,0.029006135
307,193,224,611,2.536825,0.029804878
308,191,177,580,2.3310344,0.028292682
309,189,194,594,2.5252526,0.028745644
310,182,194,589,2.5500848,0.028678548
311,197,181,577,2.5129983,0.028267685
312,168,204,593,2.6475549,0.029231982
313,180,176,557,2.4021544,0.027073005
314,185,208,561,2.7058823,0.027267424
315,168,176,538,2.4275093,0.025989084
316,164,153,530,2.4603775,0.025602628
317,146,161,541,2.5101664,0.025929831
318,159,143,526,2.3460076,0.025366513
319,145,156,542,2.5313654,0.02581936
320,159,160,531,2.4934087,0.02529535
321,161,151,530,2.45283,0.024900164
322,166,170,540,2.5222223,0.025524674
323,165,167,536,2.4440298,0.025182053
324,158,146,534,2.4569287,0.02508809
325,167,153,546,2.5384614,0.025454545
326,171,170,560,2.5214286,0.026107226
327,184,172,561,2.459893,0.025996292
328,154,190,573,2.5759163,0.026393367
329,153,164,537,2.320298,0.024546327
330,146,155,526,2.4068441,0.024043515
331,136,138,517,2.3558993,0.023632126
332,144,148,515,2.462136,0.023540705
333,152,138,511,2.4070451,0.023180911
334,156,139,525,2.4380953,0.023816004
335,152,156,542,2.5350554,0.024440836
336,145,159,538,2.464684,0.024260461
337,161,142,524,2.3931298,0.023451487
338,153,163,543,2.5893185,0.024301825
339,153,138,533,2.3977487,0.023713129
340,160,154,548,2.481752,0.024380477
341,158,149,554,2.4404333,0.024463482
342,167,167,563,2.507993,0.024860902
343,164,169,563,2.5612788,0.024714662
344,179,158,558,2.4767025,0.024495171
345,175,198,579,2.6528497,0.025228757
346,204,170,556,2.356115,0.02422658
347,187,203,590,2.657627,0.02540913
348,195,191,574,2.4703832,0.024720069
349,194,186,578,2.5467129,0.024709303
350,192,191,586,2.6006825,0.025197798
351,179,199,587,2.5553663,0.025094049
352,187,179,567,2.4338624,0.024239056
353,174,189,575,2.5773914,0.02440163
354,158,174,560,2.4892857,0.023765065
355,186,158,544,2.4044118,0.022952618
356,162,187,572,2.6678321,0.024134003
357,163,190,547,2.4899452,0.022911955
358,147,178,520,2.4346154,0.021781016
359,134,154,489,2.2944784,0.020364817
360,135,126,469,2.3027718,0.0195319
361,120,142,478,2.4769874,0.0197635
362,130,111,456,2.1973684,0.018853882
363,140,117,475,2.5094738,0.019527236
364,137,146,498,2.6024096,0.020472765
365,133,147,489,2.4826176,0.019959183
366,145,106,475,2.3326316,0.019387756
367,140,163,514,2.6731517,0.020742534
368,160,133,491,2.2973523,0.019814366
369,135,174,518,2.6409266,0.020639095
370,140,129,479,2.2713988,0.019085186
371,139,142,490,2.4816327,0.01930654
372,139,125,487,2.3778234,0.019188337
373,154,134,501,2.499002,0.019600939
374,143,162,521,2.5796545,0.020270796
375,154,123,502,2.3147411,0.019424237
376,163,163,533,2.5290806,0.020511044
377,158,126,533,2.4727955,0.020367611
378,178,201,565,2.6902654,0.021473093
379,174,152,542,2.3800738,0.02048762
380,174,185,564,2.5957446,0.021319222
381,177,191,553,2.5027125,0.020758258
